DepartureDate,DepartureYear,DepartureMonth,DepartureDay,FlightNumber,DepartureAirport,ArrivalAirport,Route,ActualFlightTime,ActualTotalFuel,ActualTOW,FLownPassengers,BagsCount,FlightBagsWeight
01/10/2016,2016,10,1,1145,0,0,0,91,3660,64016.0,175.0,61.0,440.0
01/10/2016,2016,10,1,1160,1,1,1,68,3280,66138.0,182.0,27.0,350.0
01/10/2016,2016,10,1,1183,2,2,2,64,2720,58447.0,127.0,0.0,0.0
01/10/2016,2016,10,1,1220,3,3,3,35,1682,60587.0,163.0,12.0,150.0
01/10/2016,2016,10,1,1225,4,4,4,34,1877,63090.0,178.0,37.0,490.0
01/10/2016,2016,10,1,1230,4,4,4,35,1780,62220.0,171.0,18.0,230.0
01/10/2016,2016,10,1,1246,3,5,5,114,5150,68532.0,178.0,69.0,900.0
01/10/2016,2016,10,1,1273,5,6,6,69,2940,62836.0,161.0,0.0,0.0
01/10/2016,2016,10,1,1298,6,4,7,89,3869,62728.0,143.0,31.0,400.0
01/10/2016,2016,10,1,1421,7,7,8,162,6920,66573.0,162.0,45.0,590.0
01/10/2016,2016,10,1,1625,8,8,9,140,5780,65467.0,174.0,36.0,470.0
01/10/2016,2016,10,1,1632,9,9,10,80,3397,64052.0,149.0,43.0,540.0
01/10/2016,2016,10,1,1703,10,8,11,102,4749,67480.0,174.0,120.0,1559.0
01/10/2016,2016,10,1,1788,11,10,12,53,2320,63344.0,173.0,55.0,700.0
01/10/2016,2016,10,1,1789,12,11,13,54,2667,64705.0,183.0,59.0,770.0
01/10/2016,2016,10,1,1924,9,12,14,149,6800,71290.0,183.0,109.0,1420.0
01/10/2016,2016,10,1,1928,13,13,15,150,6530,67281.0,177.0,116.0,940.0
01/10/2016,2016,10,1,1949,14,14,16,92,4150,66555.0,183.0,95.0,1230.0
01/10/2016,2016,10,1,1952,15,15,17,84,3696,64016.0,173.0,38.0,490.0
01/10/2016,2016,10,1,2037,16,10,18,120,5040,65068.0,171.0,77.0,1000.0
01/10/2016,2016,10,1,2048,17,16,19,244,10517,71562.0,174.0,75.0,970.0
01/10/2016,2016,10,1,2153,18,17,20,138,6220,68369.0,184.0,134.0,1740.0
01/10/2016,2016,10,1,2162,19,18,21,119,4998,66555.0,183.0,72.0,930.0
01/10/2016,2016,10,1,2163,16,17,22,122,5730,68061.0,183.0,116.0,1510.0
01/10/2016,2016,10,1,2270,10,4,23,124,5440,66356.0,161.0,46.0,600.0
01/10/2016,2016,10,1,2272,20,11,24,54,2680,63743.0,169.0,75.0,975.0
01/10/2016,2016,10,1,2283,11,19,25,108,4450,65304.0,175.0,18.0,230.0
01/10/2016,2016,10,1,2368,11,20,26,103,4680,68043.0,182.0,43.0,560.0
01/10/2016,2016,10,1,2404,11,21,27,76,3490,65267.0,158.0,41.0,530.0
01/10/2016,2016,10,1,2422,21,22,28,173,7910,72433.0,170.0,44.0,580.0
01/10/2016,2016,10,1,2432,11,23,29,108,5010,68424.0,177.0,46.0,600.0
01/10/2016,2016,10,1,2437,22,11,30,129,5477,66337.0,179.0,31.0,410.0
01/10/2016,2016,10,1,2468,11,24,31,102,4800,66972.0,176.0,32.0,420.0
01/10/2016,2016,10,1,2484,17,25,32,117,4580,64505.0,162.0,53.0,690.0
01/10/2016,2016,10,1,2507,23,26,33,108,4970,67426.0,173.0,78.0,1010.0
01/10/2016,2016,10,1,2508,24,27,34,117,5397,67498.0,185.0,0.0,0.0
01/10/2016,2016,10,1,2531,25,28,35,175,7250,68206.0,163.0,113.0,1470.0
01/10/2016,2016,10,1,2548,26,13,36,245,10916,73702.0,183.0,107.0,1399.0
01/10/2016,2016,10,1,2591,25,0,37,177,7344,68514.0,174.0,100.0,1300.0
01/10/2016,2016,10,1,2622,27,7,38,109,4920,66573.0,180.0,0.0,0.0
01/10/2016,2016,10,1,2672,11,29,39,125,5000,65050.0,173.0,24.0,310.0
01/10/2016,2016,10,1,2915,28,18,40,118,4790,65122.0,176.0,68.0,850.0
01/10/2016,2016,10,1,2921,28,27,41,101,4390,65503.0,183.0,43.0,490.0
01/10/2016,2016,10,1,2928,28,30,42,132,5600,67063.0,178.0,29.0,437.0
01/10/2016,2016,10,1,2931,28,7,43,151,6616,67553.0,176.0,46.0,690.0
01/10/2016,2016,10,1,2933,28,31,44,130,5580,65938.0,176.0,50.0,650.0
01/10/2016,2016,10,1,3064,29,27,45,172,7043,67752.0,177.0,0.0,0.0
01/10/2016,2016,10,1,3094,30,32,46,151,6381,65993.0,161.0,36.0,470.0
01/10/2016,2016,10,1,3096,31,19,47,84,3200,60442.0,152.0,5.0,70.0
01/10/2016,2016,10,1,3097,32,33,48,32,1460,58973.0,151.0,0.0,0.0
01/10/2016,2016,10,1,3104,20,34,49,68,2980,64179.0,168.0,68.0,884.0
01/10/2016,2016,10,1,3172,9,16,50,237,10594,72850.0,185.0,138.0,1919.0
01/10/2016,2016,10,1,3243,33,35,51,109,4940,66392.0,178.0,84.0,1090.0
01/10/2016,2016,10,1,3746,7,36,52,79,3380,63544.0,170.0,49.0,640.0
01/10/2016,2016,10,1,3805,0,37,53,239,10210,69022.0,163.0,85.0,1110.0
01/10/2016,2016,10,1,3842,11,38,54,112,5190,67625.0,174.0,86.0,1170.0
01/10/2016,2016,10,1,3883,34,39,55,181,8040,69965.0,177.0,87.0,1130.0
01/10/2016,2016,10,1,3899,32,40,56,112,5040,65975.0,157.0,42.0,550.0
01/10/2016,2016,10,1,3918,11,41,57,165,7140,68297.0,171.0,75.0,980.0
01/10/2016,2016,10,1,3956,6,42,58,95,4000,64759.0,171.0,19.0,250.0
01/10/2016,2016,10,1,4054,32,8,59,140,6113,66791.0,175.0,48.0,620.0
01/10/2016,2016,10,1,4079,18,43,60,151,6700,68133.0,179.0,76.0,990.0
01/10/2016,2016,10,1,4088,0,44,61,151,6839,69603.0,186.0,117.0,1620.0
01/10/2016,2016,10,1,4136,32,45,62,156,6690,67898.0,175.0,51.0,670.0
01/10/2016,2016,10,1,4195,10,11,63,98,3960,64886.0,160.0,74.0,969.0
01/10/2016,2016,10,1,4231,10,46,64,80,3720,64741.0,171.0,18.0,240.0
01/10/2016,2016,10,1,4322,22,47,65,89,3746,62927.0,163.0,32.0,420.0
01/10/2016,2016,10,1,4331,35,35,66,240,10730,73956.0,183.0,109.0,1420.0
01/10/2016,2016,10,1,4348,36,48,67,146,6130,66755.0,177.0,35.0,460.0
01/10/2016,2016,10,1,4468,9,13,68,149,6770,68424.0,179.0,136.0,1770.0
