DepartureDate,DepartureYear,DepartureMonth,DepartureDay,FlightNumber,DepartureAirport,ArrivalAirport,Route,ActualFlightTime,ActualTotalFuel,ActualTOW,FLownPassengers,BagsCount,FlightBagsWeight
01/10/2016,2016,10,1,1145,MAN,SXF,MAN-SXF,91,3660,64016.0,175.0,61.0,440.0
01/10/2016,2016,10,1,1160,CTA,FCO,CTA-FCO,68,3280,66138.0,182.0,27.0,350.0
01/10/2016,2016,10,1,1183,LGW,SNN,LGW-SNN,64,2720,58447.0,127.0,,
01/10/2016,2016,10,1,1220,ATH,CHQ,ATH-CHQ,35,1682,60587.0,163.0,12.0,150.0
01/10/2016,2016,10,1,1225,CHQ,ATH,CHQ-ATH,34,1877,63090.0,178.0,37.0,490.0
01/10/2016,2016,10,1,1230,CHQ,ATH,CHQ-ATH,35,1780,62220.0,171.0,18.0,230.0
01/10/2016,2016,10,1,1246,ATH,BTS,ATH-BTS,114,5150,68532.0,178.0,69.0,900.0
01/10/2016,2016,10,1,1273,BFS,LGW,BFS-LGW,69,2940,62836.0,161.0,,
01/10/2016,2016,10,1,1298,CIA,ATH,CIA-ATH,89,3869,62728.0,143.0,31.0,400.0
01/10/2016,2016,10,1,1421,PSA,LIS,PSA-LIS,162,6920,66573.0,162.0,45.0,590.0
01/10/2016,2016,10,1,1625,LCJ,EMA,LCJ-EMA,140,5780,65467.0,174.0,36.0,470.0
01/10/2016,2016,10,1,1632,EMA,LIG,EMA-LIG,80,3397,64052.0,149.0,43.0,540.0
01/10/2016,2016,10,1,1703,BGY,EMA,BGY-EMA,102,4749,67480.0,174.0,120.0,1559.0
01/10/2016,2016,10,1,1788,STN,DTM,STN-DTM,53,2320,63344.0,173.0,55.0,700.0
01/10/2016,2016,10,1,1789,DTM,STN,DTM-STN,54,2667,64705.0,183.0,59.0,770.0
01/10/2016,2016,10,1,1924,EMA,MJV,EMA-MJV,149,6800,71290.0,183.0,109.0,1420.0
01/10/2016,2016,10,1,1928,CRL,AGP,CRL-AGP,150,6530,67281.0,177.0,116.0,940.0
01/10/2016,2016,10,1,1949,HHN,DUB,HHN-DUB,92,4150,66555.0,183.0,95.0,1230.0
01/10/2016,2016,10,1,1952,NRN,NYO,NRN-NYO,84,3696,64016.0,173.0,38.0,490.0
01/10/2016,2016,10,1,2037,PMI,DTM,PMI-DTM,120,5040,65068.0,171.0,77.0,1000.0
01/10/2016,2016,10,1,2048,LBA,ACE,LBA-ACE,244,10517,71562.0,174.0,75.0,970.0
01/10/2016,2016,10,1,2153,ALC,BHX,ALC-BHX,138,6220,68369.0,184.0,134.0,1740.0
01/10/2016,2016,10,1,2162,BHX,PMI,BHX-PMI,119,4998,66555.0,183.0,72.0,930.0
01/10/2016,2016,10,1,2163,PMI,BHX,PMI-BHX,122,5730,68061.0,183.0,116.0,1510.0
01/10/2016,2016,10,1,2270,BGY,ATH,BGY-ATH,124,5440,66356.0,161.0,46.0,600.0
01/10/2016,2016,10,1,2272,DUB,STN,DUB-STN,54,2680,63743.0,169.0,75.0,975.0
01/10/2016,2016,10,1,2283,STN,WMI,STN-WMI,108,4450,65304.0,175.0,18.0,230.0
01/10/2016,2016,10,1,2368,STN,OSR,STN-OSR,103,4680,68043.0,182.0,43.0,560.0
01/10/2016,2016,10,1,2404,STN,FMM,STN-FMM,76,3490,65267.0,158.0,41.0,530.0
01/10/2016,2016,10,1,2422,KUN,RHO,KUN-RHO,173,7910,72433.0,170.0,44.0,580.0
01/10/2016,2016,10,1,2432,STN,KRK,STN-KRK,108,5010,68424.0,177.0,46.0,600.0
01/10/2016,2016,10,1,2437,KRK,STN,KRK-STN,129,5477,66337.0,179.0,31.0,410.0
01/10/2016,2016,10,1,2468,STN,LCJ,STN-LCJ,102,4800,66972.0,176.0,32.0,420.0
01/10/2016,2016,10,1,2484,LBA,TSF,LBA-TSF,117,4580,64505.0,162.0,53.0,690.0
01/10/2016,2016,10,1,2507,BCN,CGN,BCN-CGN,108,4970,67426.0,173.0,78.0,1010.0
01/10/2016,2016,10,1,2508,CGN,BCN,CGN-BCN,117,5397,67498.0,185.0,,
01/10/2016,2016,10,1,2531,AGP,BLL,AGP-BLL,175,7250,68206.0,163.0,113.0,1470.0
01/10/2016,2016,10,1,2548,NYO,AGP,NYO-AGP,245,10916,73702.0,183.0,107.0,1399.0
01/10/2016,2016,10,1,2591,AGP,SXF,AGP-SXF,177,7344,68514.0,174.0,100.0,1300.0
01/10/2016,2016,10,1,2622,PDL,LIS,PDL-LIS,109,4920,66573.0,180.0,,
01/10/2016,2016,10,1,2672,STN,CIA,STN-CIA,125,5000,65050.0,173.0,24.0,310.0
01/10/2016,2016,10,1,2915,BRU,PMI,BRU-PMI,118,4790,65122.0,176.0,68.0,850.0
01/10/2016,2016,10,1,2921,BRU,BCN,BRU-BCN,101,4390,65503.0,183.0,43.0,490.0
