DepartureDate	DepartureYear	DepartureMonth	DepartureDay	FlightNumber	DepartureAirport	ArrivalAirport	Route	ActualFlightTime	ActualTotalFuel	ActualTOW	FLownPassengers	BagsCount	FlightBagsWeight
01/10/2016	2016	10	1	1145	MAN	SXF	MAN-SXF	91	3660	64016	175	61	440
01/10/2016	2016	10	1	1160	CTA	FCO	CTA-FCO	68	3280	66138	182	27	350
01/10/2016	2016	10	1	1183	LGW	SNN	LGW-SNN	64	2720	58447	127	(null)	(null)
01/10/2016	2016	10	1	1220	ATH	CHQ	ATH-CHQ	35	1682	60587	163	12	150
01/10/2016	2016	10	1	1225	CHQ	ATH	CHQ-ATH	34	1877	63090	178	37	490
01/10/2016	2016	10	1	1230	CHQ	ATH	CHQ-ATH	35	1780	62220	171	18	230
01/10/2016	2016	10	1	1246	ATH	BTS	ATH-BTS	114	5150	68532	178	69	900
01/10/2016	2016	10	1	1273	BFS	LGW	BFS-LGW	69	2940	62836	161	(null)	(null)
01/10/2016	2016	10	1	1298	CIA	ATH	CIA-ATH	89	3869	62728	143	31	400
01/10/2016	2016	10	1	1421	PSA	LIS	PSA-LIS	162	6920	66573	162	45	590
01/10/2016	2016	10	1	1625	LCJ	EMA	LCJ-EMA	140	5780	65467	174	36	470
01/10/2016	2016	10	1	1632	EMA	LIG	EMA-LIG	80	3397	64052	149	43	540
01/10/2016	2016	10	1	1703	BGY	EMA	BGY-EMA	102	4749	67480	174	120	1559
01/10/2016	2016	10	1	1788	STN	DTM	STN-DTM	53	2320	63344	173	55	700
01/10/2016	2016	10	1	1789	DTM	STN	DTM-STN	54	2667	64705	183	59	770
01/10/2016	2016	10	1	1924	EMA	MJV	EMA-MJV	149	6800	71290	183	109	1420
01/10/2016	2016	10	1	1928	CRL	AGP	CRL-AGP	150	6530	67281	177	116	940
01/10/2016	2016	10	1	1949	HHN	DUB	HHN-DUB	92	4150	66555	183	95	1230
01/10/2016	2016	10	1	1952	NRN	NYO	NRN-NYO	84	3696	64016	173	38	490
01/10/2016	2016	10	1	2037	PMI	DTM	PMI-DTM	120	5040	65068	171	77	1000
01/10/2016	2016	10	1	2048	LBA	ACE	LBA-ACE	244	10517	71562	174	75	970
01/10/2016	2016	10	1	2153	ALC	BHX	ALC-BHX	138	6220	68369	184	134	1740
01/10/2016	2016	10	1	2162	BHX	PMI	BHX-PMI	119	4998	66555	183	72	930
01/10/2016	2016	10	1	2163	PMI	BHX	PMI-BHX	122	5730	68061	183	116	1510
01/10/2016	2016	10	1	2270	BGY	ATH	BGY-ATH	124	5440	66356	161	46	600
01/10/2016	2016	10	1	2272	DUB	STN	DUB-STN	54	2680	63743	169	75	975
01/10/2016	2016	10	1	2283	STN	WMI	STN-WMI	108	4450	65304	175	18	230
01/10/2016	2016	10	1	2368	STN	OSR	STN-OSR	103	4680	68043	182	43	560
01/10/2016	2016	10	1	2404	STN	FMM	STN-FMM	76	3490	65267	158	41	530
01/10/2016	2016	10	1	2422	KUN	RHO	KUN-RHO	173	7910	72433	170	44	580
01/10/2016	2016	10	1	2432	STN	KRK	STN-KRK	108	5010	68424	177	46	600
01/10/2016	2016	10	1	2437	KRK	STN	KRK-STN	129	5477	66337	179	31	410
